site_id,date,discharge_lag1,discharge_lag2,discharge_lag3,discharge_roll_mean_3,discharge_roll_mean_7,discharge_diff_1,month,threshold,discharge_next_day,target
01646500,2022-03-21,9500.0,9530.0,9630.0,9573.333333333334,9607.142857142857,190.0,3,28540.000000000007,9020.0,0.0
01646500,2022-03-22,9690.0,9500.0,9530.0,9403.333333333334,9534.285714285714,-670.0,3,28540.000000000007,8530.0,0.0
01646500,2022-03-23,9020.0,9690.0,9500.0,9080.0,9370.0,-490.0,3,28540.000000000007,8500.0,0.0
01646500,2022-03-24,8530.0,9020.0,9690.0,8683.333333333334,9200.0,-30.0,3,28540.000000000007,8570.0,0.0
01646500,2022-03-25,8500.0,8530.0,9020.0,8533.333333333334,9048.57142857143,70.0,3,28540.000000000007,8420.0,0.0
01646500,2022-03-26,8570.0,8500.0,8530.0,8496.666666666666,8890.0,-150.0,3,28540.000000000007,8400.0,0.0
01646500,2022-03-27,8420.0,8570.0,8500.0,8463.333333333334,8732.857142857143,-20.0,3,28540.000000000007,8880.0,0.0
01646500,2022-03-28,8400.0,8420.0,8570.0,8566.666666666666,8617.142857142857,480.0,3,28540.000000000007,8410.0,0.0
01646500,2022-03-29,8880.0,8400.0,8420.0,8563.333333333334,8530.0,-470.0,3,28540.000000000007,7850.0,0.0
01646500,2022-03-30,8410.0,8880.0,8400.0,8380.0,8432.857142857143,-560.0,3,28540.000000000007,7580.0,0.0
01646500,2022-03-31,7850.0,8410.0,8880.0,7946.666666666667,8301.42857142857,-270.0,3,28540.000000000007,8040.0,0.0
01646500,2022-04-01,7580.0,7850.0,8410.0,7823.333333333333,8225.714285714286,460.0,4,28540.000000000007,8850.0,0.0
01646500,2022-04-02,8040.0,7580.0,7850.0,8156.666666666667,8287.142857142857,810.0,4,28540.000000000007,10300.0,0.0
01646500,2022-04-03,8850.0,8040.0,7580.0,9063.333333333334,8558.57142857143,1450.0,4,28540.000000000007,11800.0,0.0
01646500,2022-04-04,10300.0,8850.0,8040.0,10316.666666666666,8975.714285714286,1500.0,4,28540.000000000007,11200.0,0.0
01646500,2022-04-05,11800.0,10300.0,8850.0,11100.0,9374.285714285714,-600.0,4,28540.000000000007,13800.0,0.0
01646500,2022-04-06,11200.0,11800.0,10300.0,12266.666666666666,10224.285714285714,2600.0,4,28540.000000000007,15800.0,0.0
01646500,2022-04-07,13800.0,11200.0,11800.0,13600.0,11398.57142857143,2000.0,4,28540.000000000007,36700.0,1.0
01646500,2022-04-08,15800.0,13800.0,11200.0,22100.0,15492.857142857143,20900.0,4,28540.000000000007,46500.0,1.0
01646500,2022-04-09,36700.0,15800.0,13800.0,33000.0,20871.428571428572,9800.0,4,28540.000000000007,40700.0,1.0
01646500,2022-04-10,46500.0,36700.0,15800.0,41300.0,25214.285714285714,-5800.0,4,28540.000000000007,31400.0,1.0
01646500,2022-04-11,40700.0,46500.0,36700.0,39533.333333333336,28014.285714285714,-9300.0,4,28540.000000000007,25100.0,0.0
01646500,2022-04-12,31400.0,40700.0,46500.0,32400.0,30000.0,-6300.0,4,28540.000000000007,20500.0,0.0
01646500,2022-04-13,25100.0,31400.0,40700.0,25666.666666666668,30957.14285714286,-4600.0,4,28540.000000000007,17300.0,0.0
